Sl.No,Year,Name of State/UT,Stat_Code,Population Affected (Million),Damages to Crops - Value (Rs. Crore),Cattle Lost Nos.,Human Lives Lost Nos.,"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
1,2016,Andhra Pradesh,28,0.386,0,4,3,0
2,2016,Arunachal Pradesh,12,0,0,15671,42,0
3,2016,Assam,18,0.003,0,0,36,17.89
4,2016,Bihar,10,8.823,443.53,246,254,528.762
5,2016,Chattisgarh,22,0,0,0,0,0
6,2016,Goa,30,0,0,0,0,0
7,2016,Gujarat,24,0.012,0,322,99,0
8,2016,Haryana,6,0,518.235,1,2,522.447
9,2016,Himachal Pradesh,2,6.865,26.83,136,40,45.12
10,2016,Jammu & Kashmir,1,0,0,0,3,0
11,2016,Jharkhand,20,0,0,0,0,0
12,2016,Karnataka,29,2.18,1771.26,521,63,2012.81
13,2016,Kerala,32,0.006,42.68,56,66,42.68
14,2016,Madhya Praadesh,23,1.56,0,2623,327,207.86
15,2016,Maharashtra,27,0.077,0,1036,145,0
16,2016,Manipur,14,0,0,0,0,0
17,2016,Meghalaya,17,0.124,17.73,0,4,62.529
18,2016,Mizoram,15,0,0,0,0,1.79
19,2016,Nagaland,13,0,0,0,0,0
20,2016,Odisha,21,0.015,0,0,3,31.295
21,2016,Punjab,3,0,1.14,0,13,1.66
22,2016,Rajasthan,8,4.381,1014.221,635,129,1199.113
23,2016,Sikkim,11,0,0,0,0,0
24,2016,Tamilnadu,33,0,0,0,0,0
25,2016,Tripura,16,0.091,89.122,0,3,89.357
26,2016,Uttar Pradesh,9,2.032,123.776,293,74,123.776
27,2016,Uttarakhand,5,0,4.2,823,114,788.237
28,2016,West Bengal,19,0,0,0,0,0
29,2016,A & N Island,35,0,0,0,0,0
30,2016,Chandigarh,4,0,0,0,0,0
31,2016,D & N Haveli,26,0,0,0,0,0
32,2016,Daman & Diu,25,0,0,0,0,0
33,2016,Delhi,7,0,0,0,0,0
34,2016,Lakshadweep,31,0,0,0,0,0
35,2016,Puduchcherry,34,0,0,0,0,0
1,2017,Andhra Pradesh,28,0,0,0,1,0
2,2017,Arunachal Pradesh,12,0.199,97.54,1177,60,1574.68
3,2017,Assam,18,5.602,0,0,160,0
4,2017,Bihar,10,17.164,0,373,514,0
5,2017,Chattisgarh,22,0,0,0,52,0
6,2017,Goa,30,0,0,0,1,0
7,2017,Gujarat,24,0.52,8.6,9445,284,3555.87
8,2017,Haryana,6,0,17.96,0,0,18.007
9,2017,Himachal Pradesh,2,6.865,34.607,199,75,51.367
10,2017,Jammu & Kashmir,1,0,0,0,7,0
11,2017,Jharkhand,20,0.01,0,0,12,0
12,2017,Karnataka,29,0,0,0,84,0
13,2017,Kerala,32,0,0,0,66,0
14,2017,Madhya Praadesh,23,0,0,0,0,0
15,2017,Maharashtra,27,0,0,0,148,0
16,2017,Manipur,14,0,0,0,21,0
17,2017,Meghalaya,17,0,0,0,1,0.14
18,2017,Mizoram,15,0,0,0,11,0
19,2017,Nagaland,13,0.667,9.3,2515,29,551.59
20,2017,Odisha,21,0.697,0,1316,3,334.315
21,2017,Punjab,3,0,18.23,6,5,18.64
22,2017,Rajasthan,8,3.586,1333.221,5536,101,1876.857
23,2017,Sikkim,11,0.033,5,110,10,245.44
24,2017,Tamilnadu,33,0,0,0,1,0
25,2017,Tripura,16,0.02,14.387,193,17,132.824
26,2017,Uttar Pradesh,9,2.923,308.053,93,121,308.053
27,2017,Uttarakhand,5,0,0,0,59,0
28,2017,West Bengal,19,8.723,6914.5,2857,217,17727.94
29,2017,A & N Island,35,0,0,0,0,0
30,2017,Chandigarh,4,0,0,0,0,0
31,2017,D & N Haveli,26,0,0,0,0,0.1
32,2017,Daman & Diu,25,0,0,0,0,0
33,2017,Delhi,7,0,0,0,0,0
34,2017,Lakshadweep,31,0,0,0,0,0
35,2017,Puduchcherry,34,0,0,0,0,0
1,2018,Andhra Pradesh,28,0,0,0,0,0
2,2018,Arunachal Pradesh,12,0,462.915,47,33,87149.192
3,2018,Assam,18,1.322,0,193,53,0
4,2018,Bihar,10,0.167,0,0,0,0
5,2018,Chattisgarh,22,0,0,0,0,0
6,2018,Goa,30,0,0,0,0,0
7,2018,Gujarat,24,0,0,212,0,0
8,2018,Haryana,6,0,0,0,0,0
9,2018,Himachal Pradesh,2,68.65,12.57,1285,343,65.9
10,2018,Jammu & Kashmir,1,0,0,38,6,0
11,2018,Jharkhand,20,0,0,0,5,0.2
12,2018,Karnataka,29,0.35,2220.7,1207,215,4620.78
13,2018,Kerala,32,5.412,168.48,47953,450,3320.76
14,2018,Madhya Praadesh,23,0,0,36,31,0
15,2018,Maharashtra,27,0,0,65,68,0
16,2018,Manipur,14,0.127,0,400,9,0
17,2018,Meghalaya,17,0,0.038,0,0,0
18,2018,Mizoram,15,0,0,3,18,0
19,2018,Nagaland,13,0.261,0,794,13,0
20,2018,Odisha,21,2.274,0,122,31,0
21,2018,Punjab,3,0,0,29,14,0
22,2018,Rajasthan,8,0.017,2.2,341,26,31.728
23,2018,Sikkim,11,0,0,0,0,0
24,2018,Tamilnadu,33,0,0,0,0,0
25,2018,Tripura,16,0,0,5,21,0
26,2018,Uttar Pradesh,9,0.592,230.364,149,105,547.423
27,2018,Uttarakhand,5,0,0,895,101,0
28,2018,West Bengal,19,0.321,0,93,266,0
29,2018,A & N Island,35,0,0,0,0,0
30,2018,Chandigarh,4,0,0,0,0,0
31,2018,D & N Haveli,26,0,0,0,0,0
32,2018,Daman & Diu,25,0,0,0,0,0
33,2018,Delhi,7,0,0,0,0,0
34,2018,Lakshadweep,31,0,0,0,0,0
35,2018,Puduchcherry,34,0,0,0,0,0
